Notation for a vector;\[ \bf{x} \]
Notation for a matrix;\[ A \]
Relative precision of floating point representation;\[ \epsilon = \frac{|\text{float}(x)-x|}{|x|} \]
IEEE754 guarantee for relative precision (machine precision \(\epsilon\)) for a \(t\) bit mantissa floating point number;\[ \epsilon = \frac{1}{2}2^{-t} = 2^{-t-1} \]
Addition of two vectors;\[ \vec{x} + \vec{y} = [x_1+y_1, x_2+y_2, \dots, x_n+y_n] \]
Scalar multiplication of a vector;\[ c\vec{x}= [cx_1, cx_2, \dots, cx_n] \]
Linear interpolation of two vectors;\[ \text{lerp}(\vec{x}, \vec{y}, \alpha) = \alpha \vec{x} + (1-\alpha) \vec{y} \]
Cosine of angle between two vectors in terms of normalized dot product;\[ \cos \theta = \frac{{\bf x} \cdot {\bf y}}{{||{\bf x}|| \ ||{\bf y}||}} \]
Dot product / inner product;\[ \vec{x}\cdot \vec{y} = \sum_i x_i y_i \]
Mean vector;\[ \text{mean}(\vec{x_1}, \vec{x_2}, \dots, \vec{x_n}) = \frac{1}{N} \sum_i \vec{x_i} \]
Definition of linearity (for a linear function \(f\) and equivalent matrix \(A\)); \[ f(\vec{x}+\vec{y}) = f(\vec{x}) + f(\vec{y}) = A({\bf x}+{\bf y}) = A{\bf x} + A{\bf y} \] \[ f(c\vec{x}) = cf(\vec{x}) = A(c{\bf x}) = cA{\bf x} \]
Matrix addition; \[ A + B = \begin{bmatrix} a_{1,1} + b_{1,1} & a_{1,2} + b_{1,2} & \dots & a_{1,m} + b_{1,m} \\ a_{2,1} + b_{2,1} & a_{2,2} + b_{2,2} & \dots & a_{2,m} + b_{2,m} \\ \dots \\ a_{n,1} + b_{n,1} & a_{n,2} + b_{n,2} & \dots & a_{n,m} + b_{n,m} \end{bmatrix} \]
Scalar matrix multiplication; \[ cA = \begin{bmatrix} ca_{1,1} & ca_{1,2} & \dots & ca_{1,m} \\ ca_{2,1} & ca_{2,2} & \dots & ca_{2,m} \\ \dots \\ ca_{n,1} & ca_{n,2} & \dots & ca_{n,m} \end{bmatrix} \]
Matrix multiplication; \[ C_{ij}=\sum_k a_{ik} b_{kj} \]
Outer product (matrix version); \[ \vec{x} \otimes \vec{y} = \vec{x}^T \vec{y} \]
Inner product (matrix version); \[ \vec{x} \cdot \vec{y} = \vec{x}\vec{y^T} \]
Power iteration for leading eigenvalue;\[ x_n = \frac{Ax_{n-1}}{\|Ax_{n-1}\|_\infty} \]
Definition of eigenvalue and eigenvector;\[ A\vec{x_i} = \lambda_i \vec{x_i} \]
Trace of a matrix;\[ \text{Tr}(A) = \sum_{i=1}^n \lambda_i \]
Determinant of a matrix;\[ \text{det}(A) = \prod_{i=1}^n \lambda_i \]
Linear system \(Ax = y\);\[ A\vec{x} = \vec{y} \]
SVD definition;\[ A = U \Sigma V \]
(pseudo-)inverse by SVD;\[ A^{-1} = V^T \Sigma^\dagger U^T \]
Definition of optimization;\[ \theta^* = \argmin_{\theta\in\Theta} L(\theta) \]
Objective function for approximation;\[ L(\theta) = \|y^\prime - y\| = \|f(\vec{x};\theta) - y\| \]
Equality constraints for optimization;\[ \theta^* = \argmin_{\theta\in\Theta} L(\theta) \text{ subject to } c(\theta)=0 \]
Inequality constraints for optimization;\[ \theta^* = \argmin_{\theta\in\Theta} L(\theta) \text{ subject to } c(\theta)\leq0 \]
