sign bit;the leftmost bit in a floating-point number, indicating its positive (0) or negative (1) value
mantissa (or significand);the bits in a floating-point number representing the precise fractional part, excluding the implicit leading 1 bit
exponent;the bits in a floating-point number determining the scale of the number (e.g., 2^exponent)
exponent bias;an offset value applied to the exponent to allow for representation of both positive and negative exponents in a biased manner
strides in NumPy;describe the number of bytes to jump to get to the next element in each dimension of an array
C ordering (row-major);arrays are stored in memory row by row, with the rightmost index changing fastest
Fortran ordering (column-major);arrays are stored in memory column by column, with the leftmost index changing fastest
dope vector;contains information about an array's shape, strides, data type, and other metadata
advantages of C ordering;efficient for row-wise traversal and matches how most programming languages access arrays
advantages of Fortran ordering;efficient for column-wise traversal, suits mathematical and engineering computations
dope vector for a 3D array;example: shape=(3, 4, 5), strides=(20, 5, 1), indicating how to move in memory for each dimension
effect of changing strides on array iteration;changing strides can modify the order in which array elements are accessed in memory
C ordering in nested arrays;innermost arrays follow C ordering, useful for 2D arrays of varying sizes within a 3D array
Fortran ordering in nested arrays;innermost arrays follow Fortran ordering, beneficial for numerical simulations requiring column-wise computations
Illiffe vector;alternative to dope vectors, representing shape and strides as nested lists
IEEE 754 exceptions;special conditions that occur during floating-point arithmetic operations
overflow;occurs when a result is too large to be represented within the finite range of a floating-point format
underflow;occurs when a result is too small to be represented as a normalized floating-point number
division by zero;occurs when attempting to divide a number by zero, resulting in an undefined mathematical operation
invalid operation;occurs for operations like square root of a negative number, generating a NaN (Not a Number) result
trapping exceptions;IEEE 754 allows exceptions to be trapped, enabling custom handling of exceptional conditions
setting traps in IEEE 754;specifies whether exceptions like overflow, underflow, or invalid operation should trigger an interrupt or be ignored
handling NaN (Not a Number);NaN is a special value representing undefined or unrepresentable results, propagating through most operations
handling Inf (Infinity);Inf represents positive or negative infinity, occurring as a result of overflow or division by zero
detecting and avoiding NaN;isnan() function checks if a value is NaN, helping identify and handle undefined computations
using Inf in computations;Inf can be used in mathematical operations, providing a placeholder for extremely large or small values
NaN (Not a Number);a special floating-point value representing undefined or unrepresentable results
propagation of NaN;any arithmetic operation with NaN as an operand results in NaN, making it propagate through calculations
NaN in comparisons;any comparison involving NaN, including equality checks, results in false, ensuring consistency in comparisons
isnan() function;checks if a value is NaN, returning True if it's NaN and False otherwise
NaN as a placeholder;NaN can be used to indicate missing or undefined data in computations and data analysis
handling NaN in data cleaning;NaN values in datasets can be replaced, removed, or interpolated to prepare data for analysis
IEEE 754 standard for NaN;defines the bit pattern used to represent NaN, ensuring consistent handling across different systems
NaN in mathematical functions;many functions return NaN for undefined inputs, allowing continued execution of programs
NaN in statistical calculations;NaN values in datasets can be skipped during statistical calculations to obtain meaningful results
NaN (Not a Number) bit pattern;In 64-bit float: [sign][all one exponent][non-zero mantiassa]
Inf (Infinity) bit pattern;In 64-bit float: [sign][all one exponent][all zero mantiassa]
Positive zero bit pattern;In 64-bit float: [0][all zeros]
Negative zero bit pattern;In 64-bit float: [1][all-zeros]
Signed zero issue;Arises due to the distinction between positive and negative zero, impacting certain calculations
Bit pattern for signaling NaN;Specific bit patterns in NaN are designated for signaling NaNs, indicating errors when used in operations
Bit pattern for quiet NaN;Quiet NaNs allow operations to continue without raising exceptions, ensuring smooth program execution
Reshape for Promotion;Use np.reshape() to change the shape of an array, promoting or demoting dimensions as needed.
Squeeze for Reduction;Use np.squeeze() to remove single-dimensional entries from the shape of an array, reducing its dimensions.
Newaxis for Promotion;Use np.newaxis or None to add new dimensions, promoting arrays to higher dimensions.
None for Promotion;Using None in slicing/indexing adds a new axis, promoting arrays to higher dimensions.
Ravel for Flattening;Use np.ravel() to flatten multi-dimensional arrays into one-dimensional arrays.
