probability; a measure of the likelihood of an event occurring, ranging from 0 to 1
sample space; the set of all possible outcomes of a random experiment
frequency; the number of times an event occurs in a given number of trials or observations
outcomes; the possible results of an experiment or random process
events; subsets of the sample space, representing specific occurrences of interest
distributions; mathematical functions describing the likelihood of each possible outcome in a sample space
P(X=x) notation; probability of the random variable X taking a specific value x
random variable; a variable that can take on different values, each with a certain probability, based on the outcomes of a random process
discrete random variable; a random variable that can only take distinct, separate values, often countable
continuous random variable; a random variable that can take any value within a specified range
probability mass function (PMF); a function that describes the probabilities of discrete random variables taking specific values
probability density function (PDF); a function that describes the probabilities of continuous random variables falling within specific intervals
axioms of probability; fundamental rules governing probability theory, including unitarity, non-negativity, and additivity (sum rule)
unitarity; the total probability of all possible outcomes in a sample space is equal to 1
non-negativity; probabilities are never negative and can only range from 0 to 1
additivity (sum rule); the probability of the union of mutually exclusive events is the sum of their individual probabilities
conditional probability; the probability of an event occurring given that another event has already occurred, denoted as P(A|B) where A and B are events
conditional probability from a PMF; P(X=x | Y=y) = P(X=x ∩ Y=y) / P(Y=y), where X and Y are discrete random variables, and P(X=x | Y=y) represents the probability of X taking a specific value x given that Y has taken a specific value y. P(X=x ∩ Y=y) represents the joint probability of X and Y both taking specific values, and P(Y=y) represents the probability of Y taking the value y.
forward probability; the likelihood of observing certain outcomes given specific parameters or conditions, often used in predictive modeling and simulations
inverse probability; the probability of specific parameters or conditions given observed outcomes, used in tasks like parameter estimation and hypothesis testing
Bayesian interpretation of probability; a perspective that treats probability as a measure of belief or uncertainty, incorporating prior knowledge and updating beliefs based on new evidence
frequentist interpretation of probability; a perspective that defines probability as the limit of relative frequency in a large number of trials, focusing on long-term behavior and objective outcomes
Bayes' Rule equation; P(A|B) = (P(B|A) * P(A)) / P(B), where P(A|B) is the posterior probability of event A given event B, P(B|A) is the likelihood of event B given event A, P(A) is the prior probability of event A, and P(B) is the probability of event B.
Bayes' Rule interpretation; a mathematical formula that updates the probability of an event (A) based on new evidence (B), balancing prior beliefs with the likelihood of the evidence given those beliefs
